eta,seed,delta_nominal,particle_oracle_factor,E2_particle_oracle,tik_oracle_lambda,E2_tik_oracle,particle_disc_factor_tau1.0,E2_particle_disc_tau1.0,particle_note_tau1.0,tik_disc_lambda_tau1.0,E2_tik_disc_tau1.0,particle_disc_factor_tau1.2,E2_particle_disc_tau1.2,particle_note_tau1.2,tik_disc_lambda_tau1.2,E2_tik_disc_tau1.2
0.005,0,0.012075938828219984,6.0,0.027824795469884,0.001,0.014537314930388833,4.0,0.1780970488580383,nonmonotonic,0.0010544479238213092,0.01399658383603812,4.0,0.1780970488580383,nonmonotonic,0.002941306856208807,0.008735794148202657
0.005,1,0.012075938828219984,6.0,0.0257182362760671,0.001,0.008732952436336271,4.0,0.0605606977282001,nonmonotonic,0.0015664809275817086,0.007774921346792736,4.0,0.0605606977282001,nonmonotonic,0.004122148780648265,0.0084992245266242
0.005,2,0.012075938828219984,6.0,0.0268390228565733,0.01,0.016967352701381205,4.0,0.0917684727647626,nonmonotonic,0.0005303542338400323,0.022830095906034218,4.0,0.0917684727647626,nonmonotonic,0.0027792428746330083,0.011564421353899542
0.005,3,0.012075938828219984,6.0,0.0263961505629658,0.001,0.015877556185721668,4.0,0.1204785544091523,nonmonotonic,0.001049766193599542,0.015612700200645424,4.0,0.1204785544091523,nonmonotonic,0.002930335016358576,0.01203898412432015
0.005,4,0.012075938828219984,6.0,0.0274085048211289,0.01,0.017419557994983837,4.0,0.1440580060047763,nonmonotonic,0.0010672538075936512,0.02104011026984899,4.0,0.1440580060047763,nonmonotonic,0.0029618775391368726,0.01456443843763614
0.005,5,0.012075938828219984,6.0,0.0279445506335957,0.01,0.018678537350719115,4.0,0.129575660456836,nonmonotonic,0.001309813533916503,0.01755366237110956,4.0,0.129575660456836,nonmonotonic,0.003539149568517086,0.01465905837583673
0.005,6,0.012075938828219984,6.0,0.026427960385021,0.01,0.016541817423816732,4.0,0.1353022570181428,nonmonotonic,0.0007530620213656511,0.021802161135090283,4.0,0.1353022570181428,nonmonotonic,0.0027884193729091583,0.013297197204065218
0.005,7,0.012075938828219984,6.0,0.0275619418415031,0.01,0.01806170173073397,4.0,0.1216977115069604,nonmonotonic,0.0015530250088744068,0.016559132995903267,4.0,0.1216977115069604,nonmonotonic,0.004083088953074615,0.012281291143608453
0.005,8,0.012075938828219984,6.0,0.0273538682218599,0.01,0.01679854031755483,4.0,0.1478859842043617,nonmonotonic,0.00011446359129569557,0.09102584434012452,4.0,0.1478859842043617,nonmonotonic,0.0026239252682932405,0.015615462543143657
0.005,9,0.012075938828219984,6.0,0.0277357894963884,0.01,0.01738425434380898,4.0,0.1185797875299208,nonmonotonic,0.001102743600964026,0.026499670946253752,4.0,0.1185797875299208,nonmonotonic,0.0030234715654959715,0.01740450002419779
