study,case,h,eps_rel,eta,status,censored,failure_step,failure_message,B0,B1,E2,K_modes,K_tightened,Linf_rel,delta_nom,delta_real,eps_abs,forward_residual,gate_eps_floor,gate_tightened,mass_change_rel,mass_error_rel,mass_reconstruction,max_abs_score,min_raw_density,min_reconstruction,min_regularized_denominator,negative_fraction,negative_mass_removed,tightened_max_change,tv_reconstruction,tv_reference
bandwidth_clean,Z,0.02,1e-08,0.0,completed,False,,,5.674691776214059e-15,2.3089078460925374e-12,0.07955513328151098,127,136,0.0897847918937806,nan,nan,1.2533141373069563e-09,0.05870448221486297,True,True,nan,2.2145745260057766e-16,0.12533141373069565,60.56828965362905,0.002031711696954444,-6.38378239159465e-16,0.0020317129502685815,nan,nan,3.1522328522839005e-15,1.8198616205863356,1.9993750976460627
bandwidth_clean,Z,0.028,1e-08,0.0,completed,False,,,2.9444964523228714e-15,8.598836510431663e-13,0.13794792573299103,91,98,0.15328995077376284,nan,nan,1.2533141373069563e-09,0.10420545198516491,True,True,nan,0.0,0.12533141373069562,54.370354217110545,0.003225046425503031,-2.7755575615628914e-16,0.0032250476788171683,nan,nan,2.0067657983976224e-15,1.6928909873496374,1.9993750976460627
bandwidth_clean,Z,0.04,1e-08,0.0,completed,False,,,3.5340685890557636e-15,7.168422948726259e-13,0.22949389586969768,63,68,0.24927559744771147,nan,nan,1.2533141373069563e-09,0.17971288595588897,True,True,nan,2.2145745260057766e-16,0.12533141373069565,43.93512912595082,0.0070327921575113195,-1.1657341758564144e-15,0.007032793410825457,nan,nan,1.2148673571047149e-15,1.5009796741017805,1.9993750976460627
bandwidth_clean,VB05,0.005,1e-08,0.0,completed,False,,,3.0412347379560456e-14,4.9626912174311843e-11,0.610836885019949,511,547,1.1062016333266371,nan,nan,2.005302044882031e-09,0.08965358726169731,True,True,nan,5.536437902004281e-16,0.2005302044882032,319.3635665560262,0.0040000027987308895,-1.9345636204093353e-14,0.0040000048040329346,nan,nan,3.427589156215839e-11,28.23257539638173,1.9996704939532397
bandwidth_clean,VB05,0.007,1e-08,0.0,completed,False,,,2.1145060902133853e-14,2.465563243899488e-11,0.45949600061885204,365,391,0.7055546380807243,nan,nan,2.005302044882031e-09,0.05499278011896244,True,True,nan,2.7682189510021406e-16,0.20053020448820302,215.0877010312275,0.0028571420382448587,-3.913536161803677e-15,0.0028571440435469038,nan,nan,1.910612460636736e-12,17.70275413583905,1.9996704939532397
bandwidth_clean,VB05,0.01,1e-08,0.0,completed,False,,,1.6152489638627517e-14,1.316674829265791e-11,0.10678214061670037,255,273,0.20550700614736273,nan,nan,2.005302044882031e-09,0.008548120421294953,True,True,nan,2.7682189510021406e-16,0.20053020448820313,127.30621733142343,0.001999999580494155,-1.304512053934559e-15,0.0020000015857962,nan,nan,2.845417855215396e-14,3.1059940220182174,1.9996704939532397
bandwidth_clean,VB05,0.014,1e-08,0.0,completed,False,,,1.1493978159564648e-14,6.692756079680663e-12,0.019015769808495595,182,195,0.021233472887512993,nan,nan,2.005302044882031e-09,0.01183708990410021,True,True,nan,1.3841094755010703e-16,0.20053020448820305,62.33999353477059,0.0014285712399212946,-1.3600232051658168e-15,0.0014285732452233395,nan,nan,3.0966732523270183e-15,1.9701206635901163,1.9996704939532397
bandwidth_clean,VB05,0.02,1e-08,0.0,completed,False,,,9.079504239351197e-15,3.6942514948106404e-12,0.036394458159109855,127,136,0.04147587978680559,nan,nan,2.005302044882031e-09,0.023575544083814647,True,True,nan,2.7682189510021406e-16,0.20053020448820313,49.227642408451956,0.0010745832236829511,-3.885780586188048e-16,0.001074585228984996,nan,nan,3.637218740191905e-15,1.9167864757405861,1.9996704939532397
bandwidth_clean,VB05,0.028,1e-08,0.0,completed,False,,,4.711192973278342e-15,1.3758134472995046e-12,0.06699436634949207,91,98,0.07580534151275449,nan,nan,2.005302044882031e-09,0.04407510571624589,True,True,nan,2.7682189510021406e-16,0.20053020448820313,39.35571029756356,0.0019621460292056914,-7.494005416219807e-16,0.0019621480345077364,nan,nan,1.887233613994868e-15,1.8481319383951371,1.9996704939532397
bandwidth_clean,VB05,0.04,1e-08,0.0,completed,False,,,5.654508121654731e-15,1.1469473430298839e-12,0.12189160049238841,63,68,0.13603199550857226,nan,nan,2.005302044882031e-09,0.08247085362822318,True,True,nan,2.7682189510021406e-16,0.20053020448820313,36.13127942839053,0.002864553776604606,2.0261570199409107e-15,0.002864555781906651,nan,nan,1.6762640022546706e-15,1.7275454682639815,1.9996704939532397
