study,case,eta,seed,arm,selection,tau,status,censored,failure_step,failure_message,E2_at_selection,E2_tikhonov_projected,E2_tikhonov_raw,coarse_winner_z,delta_nom,delta_real,evaluations,lambda_selected,residual_at_selection,selection_label,target_residual,z_selected
lambda_noise,B,0.001,11,P,residual,1.0,completed,False,,,0.002758133989359827,0.002613572329272741,0.002758133989359827,nan,0.002412085038319623,0.002239064898901122,72,0.0008449350766402918,0.0024120850624802267,morozov,0.002412085038319623,-3.07317666021019
lambda_noise,B,0.001,12,R,oracle_continuous,none,completed,False,,,0.0044661275627496545,0.004106715313635188,0.0044661275627496545,-2.890625,0.002412289280196847,0.0024144968228839788,76,0.0012207081005759235,0.002847906094647135,oracle_continuous,nan,-2.9133881734546176
lambda_noise,B,0.001,12,R,residual,1.2,completed,False,,,0.004470310047911386,0.004135635214336876,0.004470310047911386,nan,0.002412289280196847,0.0024144968228839788,71,0.0012856931431764614,0.002894747048155638,morozov,0.002894747136236216,-2.890862672257271
lambda_noise,B,0.001,12,R,residual,1.0,completed,False,,,0.006166432352400248,0.004836400152918748,0.006166432352400248,nan,0.002412289280196847,0.0024144968228839788,73,0.0003354112695692036,0.0024122892660514705,morozov,0.002412289280196847,-3.474422349513192
lambda_noise,B,0.001,12,P,oracle_continuous,none,completed,False,,,0.004147729456706496,0.0038376346723646895,0.004147729456706496,-3.0625,0.0024122900824336386,0.002245388295447916,76,0.0009333645366638412,0.002477912557720204,oracle_continuous,nan,-3.0299487042262987
lambda_noise,B,0.001,12,P,residual,1.2,completed,False,,,0.004396857777163115,0.004203022635404051,0.004396857777163115,nan,0.0024122900824336386,0.002245388295447916,73,0.0014929318183340846,0.0028947480838076335,morozov,0.002894748098920366,-2.825960025896826
lambda_noise,B,0.001,12,P,residual,1.0,completed,False,,,0.004162541922516267,0.0038077108208762114,0.004162541922516267,nan,0.0024122900824336386,0.002245388295447916,72,0.000822969154389006,0.0024122899024415882,morozov,0.0024122900824336386,-3.0846164422235636
lambda_noise,B,0.001,13,R,oracle_continuous,none,completed,False,,,0.003145228353579763,0.002838256985762942,0.003145228353579763,-3.0625,0.0024119504664903433,0.0024023598624554362,76,0.0009943315056595804,0.002692365200830829,oracle_continuous,nan,-3.0024687996305013
lambda_noise,B,0.001,13,R,residual,1.2,completed,False,,,0.0032560831985639733,0.003012321126087457,0.0032560831985639733,nan,0.0024119504664903433,0.0024023598624554362,71,0.0012929688226369386,0.002894340557200259,morozov,0.002894340559788412,-2.8884119471381546
lambda_noise,B,0.001,13,R,residual,1.0,completed,False,,,0.004380444624244517,0.0036701720881965713,0.004380444624244517,nan,0.0024119504664903433,0.0024023598624554362,73,0.000357992049309124,0.002411950464881691,morozov,0.0024119504664903433,-3.4461266185503097
lambda_noise,B,0.001,13,P,oracle_continuous,none,completed,False,,,0.002566962285646092,0.002479740050704489,0.002566962285646092,-3.0625,0.0024119512149771527,0.002229421215501231,76,0.000816000575755988,0.0023971956167636714,oracle_continuous,nan,-3.088309534815305
lambda_noise,B,0.001,13,P,residual,1.2,completed,False,,,0.003131605298787294,0.0030842905971173234,0.003131605298787294,nan,0.0024119512149771527,0.002229421215501231,73,0.0015033764365822533,0.0028943414413140516,morozov,0.002894341457972583,-2.822932261022543
lambda_noise,B,0.001,13,P,residual,1.0,completed,False,,,0.002568312653436169,0.0024871262044061414,0.002568312653436169,nan,0.0024119512149771527,0.002229421215501231,72,0.0008418537768351234,0.002411951256018735,morozov,0.0024119512149771527,-3.0747633353748993
lambda_noise,B,0.001,14,R,oracle_continuous,none,completed,False,,,0.0030043689142999837,0.002736745932877342,0.0030043689142999837,-2.890625,0.002411987071596138,0.00253538732800233,77,0.0012714783805832294,0.0029686009711486208,oracle_continuous,nan,-2.8956910198950587
lambda_noise,B,0.001,14,R,residual,1.2,completed,False,,,0.0030170195322776153,0.0027484936036363122,0.0030170195322776153,nan,0.002411987071596138,0.00253538732800233,73,0.001163585758068477,0.002894384476440236,morozov,0.0028943844859153655,-2.934201603023229
lambda_noise,B,0.001,14,R,residual,1.0,completed,True,,,68.46945607915845,2.9259034242172146,68.46945607915845,nan,0.002411987071596138,0.00253538732800233,66,1e-12,0.002452976376417033,endpoint,0.002411987071596138,-12.0
lambda_noise,B,0.001,14,P,oracle_continuous,none,completed,False,,,0.0028615810979698876,0.002750273461251095,0.0028615810979698876,-2.890625,0.002411988272539668,0.0023105726129224774,77,0.0012385860003446044,0.002758838975383849,oracle_continuous,nan,-2.907073833100424
lambda_noise,B,0.001,14,P,residual,1.2,completed,False,,,0.0028929166470936943,0.002770487287011689,0.0028929166470936943,nan,0.002411988272539668,0.0023105726129224774,73,0.001413256184858095,0.002894385923373803,morozov,0.002894385927047601,-2.849779105253045
lambda_noise,B,0.001,14,P,residual,1.0,completed,False,,,0.003281026433817186,0.0031813486060645263,0.003281026433817186,nan,0.002411988272539668,0.0023105726129224774,73,0.0006736643457767993,0.002411988257155437,morozov,0.002411988272539668,-3.17155643742118
lambda_noise,B,0.001,15,R,oracle_continuous,none,completed,False,,,0.0037760633775124255,0.003664887048172694,0.0037760633775124255,-3.0625,0.002412037017513143,0.002362427185757865,76,0.0009486814715677038,0.0026222324660667845,oracle_continuous,nan,-3.0228795814204603
lambda_noise,B,0.001,15,R,residual,1.2,completed,False,,,0.003907898088064455,0.0038073524156223273,0.003907898088064455,nan,0.002412037017513143,0.002362427185757865,73,0.0013452561946924815,0.002894444420845522,morozov,0.0028944444210157716,-2.871194999419311
lambda_noise,B,0.001,15,R,residual,1.0,completed,False,,,0.004034965623652634,0.003873044971973097,0.004034965623652634,nan,0.002412037017513143,0.002362427185757865,73,0.0005114212942476433,0.0024120370016973525,morozov,0.002412037017513143,-3.2912211930446964
lambda_noise,B,0.001,15,P,oracle_continuous,none,completed,False,,,0.003536461788831976,0.0035182272726392034,0.003536461788831976,-3.0625,0.0024120374074716963,0.002275182704900963,76,0.0008362037561963381,0.0024368057874799565,oracle_continuous,nan,-3.0776878859464762
lambda_noise,B,0.001,15,P,residual,1.2,completed,False,,,0.003879678548070871,0.003842031919306552,0.003879678548070871,nan,0.0024120374074716963,0.002275182704900963,73,0.0014758940243601352,0.002894444876468177,morozov,0.0028944448889660353,-2.830944825634898
lambda_noise,B,0.001,15,P,residual,1.0,completed,False,,,0.003538977394639473,0.0035203504312447827,0.003538977394639473,nan,0.0024120374074716963,0.002275182704900963,73,0.0007916210830431195,0.002412037402871909,morozov,0.0024120374074716963,-3.101482647857052
lambda_noise,B,0.001,16,R,oracle_continuous,none,completed,False,,,0.0034190558375958805,0.003307235987501547,0.0034190558375958805,-2.890625,0.0024123828798302254,0.0023672281103333526,76,0.0011532361757412898,0.0027571653673529053,oracle_continuous,nan,-2.9380817427333605
lambda_noise,B,0.001,16,R,residual,1.2,completed,False,,,0.0034636515899599423,0.0033541995885117953,0.0034636515899599423,nan,0.0024123828798302254,0.0023672281103333526,73,0.0013419894831723964,0.0028948594556656364,morozov,0.0028948594557962706,-2.872250887608228
lambda_noise,B,0.001,16,R,residual,1.0,completed,False,,,0.004444439012333558,0.004186307994777167,0.004444439012333558,nan,0.0024123828798302254,0.0023672281103333526,73,0.0005077075250322318,0.0024123828621565716,morozov,0.0024123828798302254,-3.294386399613407
