test,n_grid,method_name,method_type,n_particles,globs_per_jump,recon_method,bandwidth_factor,bandwidth_used,completed,failure_step,failure_msg,step_zero_recon_error,relative_l2,l2_error,linf_error,forward_consistency_l2,wasserstein,mass_rel_error,total_variation,peak_value,peak_ratio,A_fit,mu_fit,sigma_fit,fit_success,fit_rmse,mass_candidate,mass_true,runtime_seconds
H,200,density_particle_oracle_deterministic,density_particle_oracle,1000,0,kde,4.0,0.020100502512562814,True,,,0.025215983530992067,0.05047421735361838,0.016016683780343134,0.054309123985707974,0.006844660596387412,0.0021499380596948147,-0.0034426847085416825,2.0338608906824795,0.7468558958760877,0.9322123125207382,0.46067656483583813,0.4700069902077527,0.2097923071015986,True,0.13251807662396597,0.23343068126404104,0.23423708569714397,0.008939791994635016
H,200,density_particle_oracle_deterministic,density_particle_oracle,5000,0,histogram,,,True,,,0.01535511130194962,0.014957295463679356,0.00474630978371652,0.02203824747709389,0.000843603077696005,0.00037240343920773777,-0.0006172348470056319,2.759452671063264,0.8017328706467591,1.000708781300838,0.46209680782261064,0.46973161215106934,0.20956080302574978,True,0.14570994612037713,0.23409250640539064,0.23423708569714397,0.023846208001486957
H,200,density_particle_oracle_deterministic,density_particle_oracle,5000,0,kde,1.0,0.005025125628140704,True,,,0.00932399324993618,0.009366876661804604,0.00297233536976964,0.025314645110113176,0.0012463696468009119,0.0004888684195314593,-0.0009360584665572208,2.197531337984744,0.7964243875556346,0.9940828266478998,0.46203002842170166,0.4697545107218279,0.20954503851297845,True,0.14482525430605728,0.23401782608989546,0.23423708569714397,0.032456375018227845
H,200,density_particle_oracle_deterministic,density_particle_oracle,5000,0,kde,2.0,0.010050251256281407,True,,,0.012173786594601877,0.016867425864285805,0.005352440125300518,0.0251570015419224,0.0024426324734814777,0.0008517137747981267,-0.0017557077708560149,2.1625839927873365,0.7856366479123431,0.9806177609300375,0.46179600776478513,0.46980518687486955,0.20954921104496074,True,0.1422083495740978,0.23382583382556282,0.23423708569714397,0.0256154160015285
H,200,density_particle_oracle_deterministic,density_particle_oracle,5000,0,kde,4.0,0.020100502512562814,True,,,0.025221740446209437,0.05047645609219128,0.01601739418596543,0.0543090684385108,0.006845683784646174,0.00215091331649803,-0.003450097662229959,2.033861305807231,0.7468559514232849,0.9322123818537668,0.46067749227089233,0.470006981553058,0.20979106083719493,True,0.1325179781804542,0.2334289448753727,0.23423708569714397,0.03096308297244832
H,200,density_particle_oracle_deterministic,density_particle_oracle,10000,0,histogram,,,True,,,0.011724397265627197,0.01055888471897929,0.003350588210851473,0.02669948509713319,0.0008394689913762693,0.00036570802721148433,-0.0005172365715251278,2.3772311862200417,0.8017328706467591,1.000708781300838,0.46208345244855,0.469738186777544,0.20956321411622147,True,0.14566357520497708,0.23411592971001394,0.23423708569714397,0.035613082989584655
H,200,density_particle_oracle_deterministic,density_particle_oracle,10000,0,kde,1.0,0.005025125628140704,True,,,0.009325433610743568,0.00936802723032784,0.0029727004728493994,0.02531429693045356,0.0012466404693533266,0.000489125478757993,-0.0009369070972273617,2.197530400122409,0.7964243869895045,0.9940828259412662,0.4620301319596459,0.46975451274238583,0.2095449113980306,True,0.1448252313026366,0.23401762730912046,0.23423708569714397,0.05476199998520315
H,200,density_particle_oracle_deterministic,density_particle_oracle,10000,0,kde,2.0,0.010050251256281407,True,,,0.012174518081848041,0.016867858184840764,0.005352577311015989,0.025156959658682098,0.0024427464554862125,0.0008518333435189767,-0.0017561629037106147,2.1625837792381737,0.7856366474621798,0.9806177603681516,0.4617960644370775,0.46980518863335885,0.2095491404069036,True,0.14220833769929725,0.23382572721656936,0.23423708569714397,0.04919504199642688
H,200,density_particle_oracle_deterministic,density_particle_oracle,10000,0,kde,4.0,0.020100502512562814,True,,,0.02522192883867506,0.05047653673327904,0.016017419775323127,0.05430907478088287,0.00684571731459393,0.0021509452020767026,-0.0034503288146005514,2.0338612739355746,0.7468559450809128,0.9322123739373301,0.4606775224247007,0.47000698346245845,0.20979102212241257,True,0.1325179718695525,0.23342889073091505,0.23423708569714397,0.0511509160278365
H,200,density_particle_oracle_deterministic,density_particle_oracle,20000,0,histogram,,,True,,,0.00923475137043992,0.008810472467863293,0.002795774929694271,0.02669948509713319,0.0008428784017803126,0.00036664669186946947,-0.0005422361403953131,2.309643240729472,0.7994022518367394,0.9977997441458935,0.46208536570388936,0.46973755515327054,0.20956259930822657,True,0.14565149411261047,0.2341100738838581,0.23423708569714397,0.07041658397065476
